Aqua	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Sodium lauroyl methyl isethionate	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Cocamidopropyl betaine	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Triethanolamine	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Kaolin	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Glycerin	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Zinc pyrithione	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Polyquaternium-7	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Acrylates / c10-30 alkyl acrylate crosspolymer	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Tetrasodium edta	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Citric acid	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Perfume	No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Hexyl cinnamal  No risk identified so far		No risk identified so far		No risk identified so far		No risk identified so far
Butylphenyl methylpropional	Medium risk		Medium risk		Medium risk		Limited risk
Methylchloroisothiazolinone	Significant risk		Medium risk		Medium risk		Medium risk
Methylisothiazolinone
